operation_name,index_type,metric,min_rows_for_fit,points_used_for_fit,model_name,formula,aicc,r2,rmse,mape_percent
insert,expression_index,avg_elapsed_ms_per_operation,50,13,sqrt,y = 0.00653173 + 0.00961319·sqrt(N/1e6),-153.2151659719431,0.44167079892117633,0.0022588690779717785,26.37225512127796
insert,function_index,avg_elapsed_ms_per_operation,50,13,log_plus_linear,y = 0.00917946 + -6.662196e-04·ln(N) + 0.0106507·(N/1e6),-161.0326057427361,0.462427312336686,0.0014635429677657922,22.98794548333651
insert,no_index,avg_elapsed_ms_per_operation,50,13,power,y = 0.00704975·N^-0.136972,-166.40730655777446,0.49791537880194603,0.0013599857986567325,23.177722310115644
insert,simple_btree,avg_elapsed_ms_per_operation,50,13,log_plus_linear,y = 0.00904776 + -6.989623e-04·ln(N) + 0.0223217·(N/1e6),-171.3112120013938,0.8355254086136035,0.0009856333755114265,18.801084181904454
insert,unique_btree,avg_elapsed_ms_per_operation,50,13,power,y = 0.00781958·N^-0.065527,-159.69869564261336,0.3264857368520995,0.0017603237733578416,20.375066714934086
insert,expression_index,avg_total_elapsed_ms,50,13,logarithmic,y = -5.28059 + 1.33953·ln(N),18.935659904743304,0.8378890741584443,1.6960374385128236,26.662613277706708
insert,function_index,avg_total_elapsed_ms,50,13,logarithmic,y = -0.755798 + 0.415821·ln(N),-2.2064800712495902,0.7169309188727591,0.7521160703110353,38.531497734671696
insert,no_index,avg_total_elapsed_ms,50,13,logarithmic,y = 0.444484 + 0.113·ln(N),-14.972095010064379,0.33303631249385834,0.4603124375106437,37.584465478267646
insert,simple_btree,avg_total_elapsed_ms,50,13,log_plus_linear,y = -0.112594 + 0.287685·ln(N) + 13.1907·(N/1e6),1.8066639281828434,0.9144845755846768,0.7680916176206952,36.73652797918282
insert,unique_btree,avg_total_elapsed_ms,50,13,logarithmic,y = -0.271684 + 0.390386·ln(N),-2.0746815076750194,0.6884559886813745,0.7559383584241424,35.84183842551001
select,btree_index_nonclustered,avg_elapsed_ms_per_operation,50,13,sqrt,y = 0.0345474 + 0.101342·sqrt(N/1e6),-104.24294855895198,0.6702363819888861,0.014856108145944421,25.37983835974531
select,without_index_nonclustered,avg_elapsed_ms_per_operation,50,13,quadratic,y = -0.15011 + 65.2381·(N/1e6) + -57.3533·(N/1e6)^2,-16.681103468937454,0.9954260475732399,0.3772247044811635,189.97979639302048
select,btree_index_nonclustered,avg_total_elapsed_ms,50,13,sqrt,y = 6.90948 + 20.2684·sqrt(N/1e6),33.51330402044302,0.6702363654768795,2.9712217490829413,25.37983883210503
select,without_index_nonclustered,avg_total_elapsed_ms,50,13,quadratic,y = -30.022 + 1.304762e+04·(N/1e6) + -1.147065e+04·(N/1e6)^2,121.07514803349491,0.9954260475830216,75.4449408155165,189.9797937951812
size_insert,expression_index,indexes_bytes,50,13,quadratic,y = 4.280168e+04 + 3.156190e+07·(N/1e6) + -3.637539e+07·(N/1e6)^2,312.5779068504695,0.9970366197355846,119240.03641961911,57.775935952403735
size_insert,function_index,indexes_bytes,50,13,quadratic,y = 2.888143e+04 + 7.091821e+06·(N/1e6) + 4.928869e+05·(N/1e6)^2,258.2943635637885,0.9997938388172101,14780.518355095588,25.624354066212945
size_insert,no_index,indexes_bytes,50,13,constant,y = -0,-928.9888915510414,1.0,0.0,
size_insert,simple_btree,indexes_bytes,50,13,quadratic,y = 2.916511e+04 + 7.032351e+06·(N/1e6) + 5.785332e+05·(N/1e6)^2,259.45647553979717,0.9997733258494662,15456.144101341342,25.953227911541955
size_insert,unique_btree,indexes_bytes,50,13,linear,y = 1.713057e+04 + 2.248216e+07·(N/1e6),218.38739312150122,0.9999986753911528,3639.1853114976802,6.883762301553503
size_insert,expression_index,relation_bytes,50,13,log_plus_linear,y = 3.767038e+04 + -7310.65·ln(N) + 8.302191e+07·(N/1e6),258.3402511331363,0.9999983878943863,14806.62762164157,13.93203094383209
size_insert,function_index,relation_bytes,50,13,log_plus_linear,y = 3.767038e+04 + -7310.65·ln(N) + 8.302191e+07·(N/1e6),258.3402511331363,0.9999983878943863,14806.62762164157,13.93203094383209
size_insert,no_index,relation_bytes,50,13,log_plus_linear,y = 3.767038e+04 + -7310.65·ln(N) + 8.302191e+07·(N/1e6),258.3402511331363,0.9999983878943863,14806.62762164157,13.93203094383209
size_insert,simple_btree,relation_bytes,50,13,log_plus_linear,y = 3.767038e+04 + -7310.65·ln(N) + 8.302191e+07·(N/1e6),258.3402511331363,0.9999983878943863,14806.62762164157,13.93203094383209
size_insert,unique_btree,relation_bytes,50,13,log_plus_linear,y = 3.767038e+04 + -7310.65·ln(N) + 8.302191e+07·(N/1e6),258.3402511331363,0.9999983878943863,14806.62762164157,13.93203094383209
size_insert,expression_index,total_bytes,50,13,quadratic,y = 5.630786e+04 + 1.143522e+08·(N/1e6) + -3.604258e+07·(N/1e6)^2,314.15226480110624,0.9999153652457072,126683.3673817326,18.64971411759533
size_insert,function_index,total_bytes,50,13,quadratic,y = 4.238761e+04 + 8.988213e+07·(N/1e6) + 8.256978e+05·(N/1e6)^2,262.15743076838424,0.999998175328472,17148.13624869113,12.299053678470948
size_insert,no_index,total_bytes,50,13,linear,y = 1.074186e+04 + 8.294316e+07·(N/1e6),262.1201957164516,0.9999971868345505,19565.948034277997,10.102659630322112
size_insert,simple_btree,total_bytes,50,13,quadratic,y = 4.267129e+04 + 8.982266e+07·(N/1e6) + 9.113440e+05·(N/1e6)^2,261.8481040333847,0.9999982174381331,16945.330549109614,12.361938441809315
size_insert,unique_btree,total_bytes,50,13,linear,y = 2.787243e+04 + 1.054253e+08·(N/1e6),259.9857690311862,0.999998522383236,18023.876949374226,7.164966799152241
size_select,btree_index_nonclustered,indexes_bytes,50,13,linear,y = 1.713057e+04 + 2.248216e+07·(N/1e6),218.38739312150122,0.9999986753911528,3639.1853114976802,6.883762301553503
size_select,without_index_nonclustered,indexes_bytes,50,13,constant,y = -0,-928.9888915510414,1.0,0.0,
size_select,btree_index_nonclustered,relation_bytes,50,13,linear,y = -1038.07 + 6.819421e+07·(N/1e6),214.10302782241945,0.9999998964523585,3086.311104233006,8.538860490514697
size_select,without_index_nonclustered,relation_bytes,50,13,linear,y = -1038.07 + 6.819421e+07·(N/1e6),214.10302782241945,0.9999998964523585,3086.311104233006,8.538860490514697
size_select,btree_index_nonclustered,total_bytes,50,13,log_plus_linear,y = 2.096576e+04 + 3078.03·ln(N) + 9.066478e+07·(N/1e6),236.8315756003692,0.99999974247684,6474.155287490696,5.835081205254822
size_select,without_index_nonclustered,total_bytes,50,13,log_plus_linear,y = 9239.62 + 2324.28·ln(N) + 6.818793e+07·(N/1e6),231.67971053407743,0.9999996936858269,5310.412336952262,10.341208681227943
size_update,expression_index,indexes_bytes,50,13,log_plus_linear,y = -9.696345e+04 + 2.546916e+04·ln(N) + 2.896025e+07·(N/1e6),267.21642261042894,0.9999745033148205,20831.496651716556,19.592865541339265
size_update,function_index,indexes_bytes,50,13,log_plus_linear,y = -1.985928e+05 + 4.330140e+04·ln(N) + 2.897114e+07·(N/1e6),285.23394088931065,0.9998999348253008,41656.089971822614,37.03728554160947
size_update,no_extra_index,indexes_bytes,50,13,linear,y = 1.713057e+04 + 2.248216e+07·(N/1e6),218.38739312150122,0.9999986753911528,3639.1853114976802,6.883762301553503
size_update,simple_btree,indexes_bytes,50,13,log_plus_linear,y = -1.985928e+05 + 4.330140e+04·ln(N) + 2.897114e+07·(N/1e6),285.23394088931065,0.9998999348253008,41656.089971822614,37.03728554160947
size_update,unique_btree,indexes_bytes,50,13,linear,y = 3.426114e+04 + 4.496432e+07·(N/1e6),236.4092198160598,0.9999986753911528,7278.3706229953605,6.883762301553503
size_update,expression_index,relation_bytes,50,13,linear,y = 4586.01 + 8.445048e+07·(N/1e6),204.23576663777024,0.99999996839231,2111.643416654705,3.114804876181656
size_update,function_index,relation_bytes,50,13,linear,y = 4586.01 + 8.445048e+07·(N/1e6),204.23576663777024,0.99999996839231,2111.643416654705,3.114804876181656
size_update,no_extra_index,relation_bytes,50,13,linear,y = 4586.01 + 8.445048e+07·(N/1e6),204.23576663777024,0.99999996839231,2111.643416654705,3.114804876181656
size_update,simple_btree,relation_bytes,50,13,linear,y = 4586.01 + 8.445048e+07·(N/1e6),204.23576663777024,0.99999996839231,2111.643416654705,3.114804876181656
size_update,unique_btree,relation_bytes,50,13,linear,y = 4586.01 + 8.445048e+07·(N/1e6),204.23576663777024,0.99999996839231,2111.643416654705,3.114804876181656
size_update,expression_index,total_bytes,50,13,log_plus_linear,y = -7.014473e+04 + 2.651210e+04·ln(N) + 1.134161e+08·(N/1e6),266.2633768681124,0.9999984258082903,20081.73103432339,6.535166066560971
size_update,function_index,total_bytes,50,13,log_plus_linear,y = -1.717741e+05 + 4.434433e+04·ln(N) + 1.134270e+08·(N/1e6),283.6145172972249,0.999994048275974,39140.66894724036,15.491376276482132
size_update,no_extra_index,total_bytes,50,13,linear,y = 5.173124e+04 + 1.069532e+08·(N/1e6),240.39252741905347,0.9999996819407809,8483.398705166155,7.574949788122715
size_update,simple_btree,total_bytes,50,13,log_plus_linear,y = -1.717741e+05 + 4.434433e+04·ln(N) + 1.134270e+08·(N/1e6),283.6145172972249,0.999994048275974,39140.66894724036,15.491376276482132
size_update,unique_btree,total_bytes,50,13,linear,y = 6.886181e+04 + 1.294354e+08·(N/1e6),247.2582758167419,0.9999996317391431,11047.215511253637,6.189946344316293
update,expression_index,avg_elapsed_ms_per_operation,50,13,constant,y = 0.0169456,-142.30929773426163,0.0,0.0038320950337192346,16.835581870214416
update,function_index,avg_elapsed_ms_per_operation,50,13,constant,y = 0.0182804,-141.7636588995941,0.0,0.003913365591566221,17.716070447643638
update,no_extra_index,avg_elapsed_ms_per_operation,50,13,constant,y = 0.014864,-150.19385848159905,1.1102230246251565e-16,0.0028296678107250068,14.774754465423282
update,simple_btree,avg_elapsed_ms_per_operation,50,13,constant,y = 0.017115,-141.03739366224062,-2.220446049250313e-16,0.004024219774428257,16.077855087208963
update,unique_btree,avg_elapsed_ms_per_operation,50,13,constant,y = 0.0163687,-149.83320965379417,0.0,0.002869191928629664,15.699856145144617
update,expression_index,avg_total_elapsed_ms,50,13,logarithmic,y = -0.45133 + 1.55808·ln(N),47.89338344271054,0.4298081864111535,5.165765028084575,95.5062027209565
update,function_index,avg_total_elapsed_ms,50,13,log_plus_linear,y = -6.53688 + 2.54455·ln(N) + -22.8503·(N/1e6),43.105428682601826,0.6835917294994734,3.7605595764163158,58.66600756293218
update,no_extra_index,avg_total_elapsed_ms,50,13,log_plus_linear,y = -5.95231 + 2.18179·ln(N) + -21.7822·(N/1e6),42.557909007031064,0.6133511803010425,3.6821960274322354,48.54890905644421
update,simple_btree,avg_total_elapsed_ms,50,13,logarithmic,y = -3.28813 + 1.82282·ln(N),34.41636334606795,0.7441997929016866,3.0762344951790306,47.334093577469446
update,unique_btree,avg_total_elapsed_ms,50,13,logarithmic,y = -0.538934 + 1.51364·ln(N),44.132083077420226,0.48720620999765274,4.469997327139853,92.43345824991552
