index_type,trigger_mode,rows_base,affected_min,affected_max,trigger_rows_min,trigger_rows_max,check_result
expression_index,without_trigger,10,1000,1000,0,0,OK
expression_index,with_trigger,10,1000,1000,1000,1000,OK
function_index,without_trigger,10,1000,1000,0,0,OK
function_index,with_trigger,10,1000,1000,1000,1000,OK
no_extra_index,without_trigger,10,1000,1000,0,0,OK
no_lookup_index,without_trigger,10,1000,1000,0,0,OK
simple_btree,without_trigger,10,1000,1000,0,0,OK
simple_btree,with_trigger,10,1000,1000,1000,1000,OK
unique_btree,without_trigger,10,1000,1000,0,0,OK
unique_btree,with_trigger,10,1000,1000,1000,1000,OK
expression_index,without_trigger,25,1000,1000,0,0,OK
expression_index,with_trigger,25,1000,1000,1000,1000,OK
function_index,without_trigger,25,1000,1000,0,0,OK
function_index,with_trigger,25,1000,1000,1000,1000,OK
no_extra_index,without_trigger,25,1000,1000,0,0,OK
no_lookup_index,without_trigger,25,1000,1000,0,0,OK
simple_btree,without_trigger,25,1000,1000,0,0,OK
simple_btree,with_trigger,25,1000,1000,1000,1000,OK
unique_btree,without_trigger,25,1000,1000,0,0,OK
unique_btree,with_trigger,25,1000,1000,1000,1000,OK
expression_index,without_trigger,50,1000,1000,0,0,OK
expression_index,with_trigger,50,1000,1000,1000,1000,OK
function_index,without_trigger,50,1000,1000,0,0,OK
function_index,with_trigger,50,1000,1000,1000,1000,OK
no_extra_index,without_trigger,50,1000,1000,0,0,OK
no_lookup_index,without_trigger,50,1000,1000,0,0,OK
simple_btree,without_trigger,50,1000,1000,0,0,OK
simple_btree,with_trigger,50,1000,1000,1000,1000,OK
unique_btree,without_trigger,50,1000,1000,0,0,OK
unique_btree,with_trigger,50,1000,1000,1000,1000,OK
expression_index,without_trigger,100,1000,1000,0,0,OK
expression_index,with_trigger,100,1000,1000,1000,1000,OK
function_index,without_trigger,100,1000,1000,0,0,OK
function_index,with_trigger,100,1000,1000,1000,1000,OK
no_extra_index,without_trigger,100,1000,1000,0,0,OK
no_lookup_index,without_trigger,100,1000,1000,0,0,OK
simple_btree,without_trigger,100,1000,1000,0,0,OK
simple_btree,with_trigger,100,1000,1000,1000,1000,OK
unique_btree,without_trigger,100,1000,1000,0,0,OK
unique_btree,with_trigger,100,1000,1000,1000,1000,OK
expression_index,without_trigger,250,1000,1000,0,0,OK
expression_index,with_trigger,250,1000,1000,1000,1000,OK
function_index,without_trigger,250,1000,1000,0,0,OK
function_index,with_trigger,250,1000,1000,1000,1000,OK
no_extra_index,without_trigger,250,1000,1000,0,0,OK
no_lookup_index,without_trigger,250,1000,1000,0,0,OK
simple_btree,without_trigger,250,1000,1000,0,0,OK
simple_btree,with_trigger,250,1000,1000,1000,1000,OK
unique_btree,without_trigger,250,1000,1000,0,0,OK
unique_btree,with_trigger,250,1000,1000,1000,1000,OK
expression_index,without_trigger,500,1000,1000,0,0,OK
expression_index,with_trigger,500,1000,1000,1000,1000,OK
function_index,without_trigger,500,1000,1000,0,0,OK
function_index,with_trigger,500,1000,1000,1000,1000,OK
no_extra_index,without_trigger,500,1000,1000,0,0,OK
no_lookup_index,without_trigger,500,1000,1000,0,0,OK
simple_btree,without_trigger,500,1000,1000,0,0,OK
simple_btree,with_trigger,500,1000,1000,1000,1000,OK
unique_btree,without_trigger,500,1000,1000,0,0,OK
unique_btree,with_trigger,500,1000,1000,1000,1000,OK
expression_index,without_trigger,1000,1000,1000,0,0,OK
expression_index,with_trigger,1000,1000,1000,1000,1000,OK
function_index,without_trigger,1000,1000,1000,0,0,OK
function_index,with_trigger,1000,1000,1000,1000,1000,OK
no_extra_index,without_trigger,1000,1000,1000,0,0,OK
no_lookup_index,without_trigger,1000,1000,1000,0,0,OK
simple_btree,without_trigger,1000,1000,1000,0,0,OK
simple_btree,with_trigger,1000,1000,1000,1000,1000,OK
unique_btree,without_trigger,1000,1000,1000,0,0,OK
unique_btree,with_trigger,1000,1000,1000,1000,1000,OK
expression_index,without_trigger,2500,1000,1000,0,0,OK
expression_index,with_trigger,2500,1000,1000,1000,1000,OK
function_index,without_trigger,2500,1000,1000,0,0,OK
function_index,with_trigger,2500,1000,1000,1000,1000,OK
no_extra_index,without_trigger,2500,1000,1000,0,0,OK
no_lookup_index,without_trigger,2500,1000,1000,0,0,OK
simple_btree,without_trigger,2500,1000,1000,0,0,OK
simple_btree,with_trigger,2500,1000,1000,1000,1000,OK
unique_btree,without_trigger,2500,1000,1000,0,0,OK
unique_btree,with_trigger,2500,1000,1000,1000,1000,OK
expression_index,without_trigger,5000,1000,1000,0,0,OK
expression_index,with_trigger,5000,1000,1000,1000,1000,OK
function_index,without_trigger,5000,1000,1000,0,0,OK
function_index,with_trigger,5000,1000,1000,1000,1000,OK
no_extra_index,without_trigger,5000,1000,1000,0,0,OK
no_lookup_index,without_trigger,5000,1000,1000,0,0,OK
simple_btree,without_trigger,5000,1000,1000,0,0,OK
simple_btree,with_trigger,5000,1000,1000,1000,1000,OK
unique_btree,without_trigger,5000,1000,1000,0,0,OK
unique_btree,with_trigger,5000,1000,1000,1000,1000,OK
expression_index,without_trigger,10000,1000,1000,0,0,OK
expression_index,with_trigger,10000,1000,1000,1000,1000,OK
function_index,without_trigger,10000,1000,1000,0,0,OK
function_index,with_trigger,10000,1000,1000,1000,1000,OK
no_extra_index,without_trigger,10000,1000,1000,0,0,OK
no_lookup_index,without_trigger,10000,1000,1000,0,0,OK
simple_btree,without_trigger,10000,1000,1000,0,0,OK
simple_btree,with_trigger,10000,1000,1000,1000,1000,OK
unique_btree,without_trigger,10000,1000,1000,0,0,OK
unique_btree,with_trigger,10000,1000,1000,1000,1000,OK
expression_index,without_trigger,25000,1000,1000,0,0,OK
expression_index,with_trigger,25000,1000,1000,1000,1000,OK
function_index,without_trigger,25000,1000,1000,0,0,OK
function_index,with_trigger,25000,1000,1000,1000,1000,OK
no_extra_index,without_trigger,25000,1000,1000,0,0,OK
no_lookup_index,without_trigger,25000,1000,1000,0,0,OK
simple_btree,without_trigger,25000,1000,1000,0,0,OK
simple_btree,with_trigger,25000,1000,1000,1000,1000,OK
unique_btree,without_trigger,25000,1000,1000,0,0,OK
unique_btree,with_trigger,25000,1000,1000,1000,1000,OK
expression_index,without_trigger,50000,1000,1000,0,0,OK
expression_index,with_trigger,50000,1000,1000,1000,1000,OK
function_index,without_trigger,50000,1000,1000,0,0,OK
function_index,with_trigger,50000,1000,1000,1000,1000,OK
no_extra_index,without_trigger,50000,1000,1000,0,0,OK
no_lookup_index,without_trigger,50000,1000,1000,0,0,OK
simple_btree,without_trigger,50000,1000,1000,0,0,OK
simple_btree,with_trigger,50000,1000,1000,1000,1000,OK
unique_btree,without_trigger,50000,1000,1000,0,0,OK
unique_btree,with_trigger,50000,1000,1000,1000,1000,OK
expression_index,without_trigger,100000,1000,1000,0,0,OK
expression_index,with_trigger,100000,1000,1000,1000,1000,OK
function_index,without_trigger,100000,1000,1000,0,0,OK
function_index,with_trigger,100000,1000,1000,1000,1000,OK
no_extra_index,without_trigger,100000,1000,1000,0,0,OK
no_lookup_index,without_trigger,100000,1000,1000,0,0,OK
simple_btree,without_trigger,100000,1000,1000,0,0,OK
simple_btree,with_trigger,100000,1000,1000,1000,1000,OK
unique_btree,without_trigger,100000,1000,1000,0,0,OK
unique_btree,with_trigger,100000,1000,1000,1000,1000,OK
expression_index,without_trigger,250000,1000,1000,0,0,OK
expression_index,with_trigger,250000,1000,1000,1000,1000,OK
function_index,without_trigger,250000,1000,1000,0,0,OK
function_index,with_trigger,250000,1000,1000,1000,1000,OK
no_extra_index,without_trigger,250000,1000,1000,0,0,OK
no_lookup_index,without_trigger,250000,1000,1000,0,0,OK
simple_btree,without_trigger,250000,1000,1000,0,0,OK
simple_btree,with_trigger,250000,1000,1000,1000,1000,OK
unique_btree,without_trigger,250000,1000,1000,0,0,OK
unique_btree,with_trigger,250000,1000,1000,1000,1000,OK
expression_index,without_trigger,500000,1000,1000,0,0,OK
expression_index,with_trigger,500000,1000,1000,1000,1000,OK
function_index,without_trigger,500000,1000,1000,0,0,OK
function_index,with_trigger,500000,1000,1000,1000,1000,OK
no_extra_index,without_trigger,500000,1000,1000,0,0,OK
no_lookup_index,without_trigger,500000,1000,1000,0,0,OK
simple_btree,without_trigger,500000,1000,1000,0,0,OK
simple_btree,with_trigger,500000,1000,1000,1000,1000,OK
unique_btree,without_trigger,500000,1000,1000,0,0,OK
unique_btree,with_trigger,500000,1000,1000,1000,1000,OK
