index_type,trigger_mode,rows_base,run_no,chunk_count,chunk_size,affected_rows,trigger_rows,total_elapsed_ms,avg_elapsed_ms_per_row,measured_at
expression_index,without_trigger,10,1,100,10,1000,0,31.774000,0.03177400000000000000,2026-05-14 04:54:36.10107
expression_index,without_trigger,10,2,100,10,1000,0,65.740000,0.06574000000000000000,2026-05-14 04:54:36.167453
expression_index,without_trigger,10,3,100,10,1000,0,93.607000,0.09360700000000000000,2026-05-14 04:54:36.261775
expression_index,without_trigger,10,4,100,10,1000,0,126.768000,0.12676800000000000000,2026-05-14 04:54:36.389206
expression_index,without_trigger,10,5,100,10,1000,0,156.887000,0.15688700000000000000,2026-05-14 04:54:36.546868
expression_index,with_trigger,10,1,100,10,1000,1000,42.075000,0.04207500000000000000,2026-05-14 04:54:36.606932
expression_index,with_trigger,10,2,100,10,1000,1000,71.310000,0.07131000000000000000,2026-05-14 04:54:36.678914
expression_index,with_trigger,10,3,100,10,1000,1000,107.757000,0.10775700000000000000,2026-05-14 04:54:36.787358
expression_index,with_trigger,10,4,100,10,1000,1000,329.448000,0.32944800000000000000,2026-05-14 04:54:37.117625
expression_index,with_trigger,10,5,100,10,1000,1000,223.091000,0.22309100000000000000,2026-05-14 04:54:37.342222
function_index,without_trigger,10,1,100,10,1000,0,25.941000,0.02594100000000000000,2026-05-14 04:54:37.387167
function_index,without_trigger,10,2,100,10,1000,0,51.199000,0.05119900000000000000,2026-05-14 04:54:37.439026
function_index,without_trigger,10,3,100,10,1000,0,75.506000,0.07550600000000000000,2026-05-14 04:54:37.515187
function_index,without_trigger,10,4,100,10,1000,0,96.104000,0.09610400000000000000,2026-05-14 04:54:37.611912
function_index,without_trigger,10,5,100,10,1000,0,204.901000,0.20490100000000000000,2026-05-14 04:54:37.817465
function_index,with_trigger,10,1,100,10,1000,1000,34.196000,0.03419600000000000000,2026-05-14 04:54:37.871064
function_index,with_trigger,10,2,100,10,1000,1000,55.379000,0.05537900000000000000,2026-05-14 04:54:37.927228
function_index,with_trigger,10,3,100,10,1000,1000,81.369000,0.08136900000000000000,2026-05-14 04:54:38.009281
function_index,with_trigger,10,4,100,10,1000,1000,142.616000,0.14261600000000000000,2026-05-14 04:54:38.152804
function_index,with_trigger,10,5,100,10,1000,1000,164.641000,0.16464100000000000000,2026-05-14 04:54:38.318292
no_extra_index,without_trigger,10,1,100,10,1000,0,8.132000,0.00813200000000000000,2026-05-14 04:54:34.511479
no_extra_index,without_trigger,10,2,100,10,1000,0,10.129000,0.01012900000000000000,2026-05-14 04:54:34.522261
no_extra_index,without_trigger,10,3,100,10,1000,0,12.295000,0.01229500000000000000,2026-05-14 04:54:34.535197
no_extra_index,without_trigger,10,4,100,10,1000,0,13.489000,0.01348900000000000000,2026-05-14 04:54:34.549475
no_extra_index,without_trigger,10,5,100,10,1000,0,19.732000,0.01973200000000000000,2026-05-14 04:54:34.569875
no_lookup_index,without_trigger,10,1,100,10,1000,0,11.486000,0.01148600000000000000,2026-05-14 04:54:34.431131
no_lookup_index,without_trigger,10,2,100,10,1000,0,8.496000,0.00849600000000000000,2026-05-14 04:54:34.441107
no_lookup_index,without_trigger,10,3,100,10,1000,0,10.566000,0.01056600000000000000,2026-05-14 04:54:34.452476
no_lookup_index,without_trigger,10,4,100,10,1000,0,11.924000,0.01192400000000000000,2026-05-14 04:54:34.46511
no_lookup_index,without_trigger,10,5,100,10,1000,0,15.002000,0.01500200000000000000,2026-05-14 04:54:34.481298
simple_btree,without_trigger,10,1,100,10,1000,0,18.424000,0.01842400000000000000,2026-05-14 04:54:34.60594
simple_btree,without_trigger,10,2,100,10,1000,0,40.400000,0.04040000000000000000,2026-05-14 04:54:34.647113
simple_btree,without_trigger,10,3,100,10,1000,0,57.105000,0.05710500000000000000,2026-05-14 04:54:34.70498
simple_btree,without_trigger,10,4,100,10,1000,0,80.029000,0.08002900000000000000,2026-05-14 04:54:34.786365
simple_btree,without_trigger,10,5,100,10,1000,0,110.221000,0.11022100000000000000,2026-05-14 04:54:34.897373
simple_btree,with_trigger,10,1,100,10,1000,1000,30.933000,0.03093300000000000000,2026-05-14 04:54:34.985289
simple_btree,with_trigger,10,2,100,10,1000,1000,57.463000,0.05746300000000000000,2026-05-14 04:54:35.043508
simple_btree,with_trigger,10,3,100,10,1000,1000,94.915000,0.09491500000000000000,2026-05-14 04:54:35.13954
simple_btree,with_trigger,10,4,100,10,1000,1000,86.081000,0.08608100000000000000,2026-05-14 04:54:35.226355
simple_btree,with_trigger,10,5,100,10,1000,1000,100.246000,0.10024600000000000000,2026-05-14 04:54:35.327467
unique_btree,without_trigger,10,1,100,10,1000,0,24.601000,0.02460100000000000000,2026-05-14 04:54:35.369648
unique_btree,without_trigger,10,2,100,10,1000,0,39.011000,0.03901100000000000000,2026-05-14 04:54:35.409375
unique_btree,without_trigger,10,3,100,10,1000,0,55.602000,0.05560200000000000000,2026-05-14 04:54:35.465673
unique_btree,without_trigger,10,4,100,10,1000,0,76.100000,0.07610000000000000000,2026-05-14 04:54:35.542452
unique_btree,without_trigger,10,5,100,10,1000,0,90.170000,0.09017000000000000000,2026-05-14 04:54:35.633269
unique_btree,with_trigger,10,1,100,10,1000,1000,77.144000,0.07714400000000000000,2026-05-14 04:54:35.752493
unique_btree,with_trigger,10,2,100,10,1000,1000,45.242000,0.04524200000000000000,2026-05-14 04:54:35.798346
unique_btree,with_trigger,10,3,100,10,1000,1000,63.332000,0.06333200000000000000,2026-05-14 04:54:35.862314
unique_btree,with_trigger,10,4,100,10,1000,1000,83.753000,0.08375300000000000000,2026-05-14 04:54:35.946832
unique_btree,with_trigger,10,5,100,10,1000,1000,104.363000,0.10436300000000000000,2026-05-14 04:54:36.051848
expression_index,without_trigger,25,1,100,10,1000,0,25.196000,0.02519600000000000000,2026-05-14 04:54:39.520785
expression_index,without_trigger,25,2,100,10,1000,0,40.630000,0.04063000000000000000,2026-05-14 04:54:39.562079
expression_index,without_trigger,25,3,100,10,1000,0,54.175000,0.05417500000000000000,2026-05-14 04:54:39.616859
expression_index,without_trigger,25,4,100,10,1000,0,78.616000,0.07861600000000000000,2026-05-14 04:54:39.69618
expression_index,without_trigger,25,5,100,10,1000,0,117.845000,0.11784500000000000000,2026-05-14 04:54:39.814852
expression_index,with_trigger,25,1,100,10,1000,1000,37.407000,0.03740700000000000000,2026-05-14 04:54:39.872063
expression_index,with_trigger,25,2,100,10,1000,1000,53.900000,0.05390000000000000000,2026-05-14 04:54:39.926844
expression_index,with_trigger,25,3,100,10,1000,1000,78.518000,0.07851800000000000000,2026-05-14 04:54:40.00614
expression_index,with_trigger,25,4,100,10,1000,1000,102.715000,0.10271500000000000000,2026-05-14 04:54:40.10979
expression_index,with_trigger,25,5,100,10,1000,1000,153.447000,0.15344700000000000000,2026-05-14 04:54:40.264423
function_index,without_trigger,25,1,100,10,1000,0,18.400000,0.01840000000000000000,2026-05-14 04:54:40.303383
function_index,without_trigger,25,2,100,10,1000,0,90.329000,0.09032900000000000000,2026-05-14 04:54:40.394633
function_index,without_trigger,25,3,100,10,1000,0,47.528000,0.04752800000000000000,2026-05-14 04:54:40.443412
function_index,without_trigger,25,4,100,10,1000,0,46.648000,0.04664800000000000000,2026-05-14 04:54:40.490986
function_index,without_trigger,25,5,100,10,1000,0,61.160000,0.06116000000000000000,2026-05-14 04:54:40.552979
function_index,with_trigger,25,1,100,10,1000,1000,36.076000,0.03607600000000000000,2026-05-14 04:54:40.608153
function_index,with_trigger,25,2,100,10,1000,1000,35.149000,0.03514900000000000000,2026-05-14 04:54:40.644058
function_index,with_trigger,25,3,100,10,1000,1000,64.892000,0.06489200000000000000,2026-05-14 04:54:40.709684
function_index,with_trigger,25,4,100,10,1000,1000,107.389000,0.10738900000000000000,2026-05-14 04:54:40.818113
function_index,with_trigger,25,5,100,10,1000,1000,64.622000,0.06462200000000000000,2026-05-14 04:54:40.88341
no_extra_index,without_trigger,25,1,100,10,1000,0,11.810000,0.01181000000000000000,2026-05-14 04:54:38.43956
no_extra_index,without_trigger,25,2,100,10,1000,0,15.113000,0.01511300000000000000,2026-05-14 04:54:38.455458
no_extra_index,without_trigger,25,3,100,10,1000,0,21.155000,0.02115500000000000000,2026-05-14 04:54:38.477382
no_extra_index,without_trigger,25,4,100,10,1000,0,22.758000,0.02275800000000000000,2026-05-14 04:54:38.501107
no_extra_index,without_trigger,25,5,100,10,1000,0,19.691000,0.01969100000000000000,2026-05-14 04:54:38.52156
no_lookup_index,without_trigger,25,1,100,10,1000,0,9.149000,0.00914900000000000000,2026-05-14 04:54:38.345555
no_lookup_index,without_trigger,25,2,100,10,1000,0,9.917000,0.00991700000000000000,2026-05-14 04:54:38.356173
no_lookup_index,without_trigger,25,3,100,10,1000,0,13.900000,0.01390000000000000000,2026-05-14 04:54:38.370713
no_lookup_index,without_trigger,25,4,100,10,1000,0,17.947000,0.01794700000000000000,2026-05-14 04:54:38.389337
no_lookup_index,without_trigger,25,5,100,10,1000,0,21.009000,0.02100900000000000000,2026-05-14 04:54:38.411045
simple_btree,without_trigger,25,1,100,10,1000,0,14.839000,0.01483900000000000000,2026-05-14 04:54:38.553021
simple_btree,without_trigger,25,2,100,10,1000,0,26.751000,0.02675100000000000000,2026-05-14 04:54:38.580743
simple_btree,without_trigger,25,3,100,10,1000,0,34.279000,0.03427900000000000000,2026-05-14 04:54:38.615681
simple_btree,without_trigger,25,4,100,10,1000,0,43.924000,0.04392400000000000000,2026-05-14 04:54:38.660374
simple_btree,without_trigger,25,5,100,10,1000,0,80.761000,0.08076100000000000000,2026-05-14 04:54:38.741983
simple_btree,with_trigger,25,1,100,10,1000,1000,26.348000,0.02634800000000000000,2026-05-14 04:54:38.813938
simple_btree,with_trigger,25,2,100,10,1000,1000,33.879000,0.03387900000000000000,2026-05-14 04:54:38.849104
simple_btree,with_trigger,25,3,100,10,1000,1000,41.527000,0.04152700000000000000,2026-05-14 04:54:38.891446
simple_btree,with_trigger,25,4,100,10,1000,1000,46.225000,0.04622500000000000000,2026-05-14 04:54:38.938616
simple_btree,with_trigger,25,5,100,10,1000,1000,110.031000,0.11003100000000000000,2026-05-14 04:54:39.049271
unique_btree,without_trigger,25,1,100,10,1000,0,15.305000,0.01530500000000000000,2026-05-14 04:54:39.082467
unique_btree,without_trigger,25,2,100,10,1000,0,27.926000,0.02792600000000000000,2026-05-14 04:54:39.111583
unique_btree,without_trigger,25,3,100,10,1000,0,33.528000,0.03352800000000000000,2026-05-14 04:54:39.145833
unique_btree,without_trigger,25,4,100,10,1000,0,53.881000,0.05388100000000000000,2026-05-14 04:54:39.2004
unique_btree,without_trigger,25,5,100,10,1000,0,51.089000,0.05108900000000000000,2026-05-14 04:54:39.252157
unique_btree,with_trigger,25,1,100,10,1000,1000,25.037000,0.02503700000000000000,2026-05-14 04:54:39.294264
unique_btree,with_trigger,25,2,100,10,1000,1000,33.558000,0.03355800000000000000,2026-05-14 04:54:39.328515
unique_btree,with_trigger,25,3,100,10,1000,1000,45.773000,0.04577300000000000000,2026-05-14 04:54:39.374891
unique_btree,with_trigger,25,4,100,10,1000,1000,45.964000,0.04596400000000000000,2026-05-14 04:54:39.421483
unique_btree,with_trigger,25,5,100,10,1000,1000,54.402000,0.05440200000000000000,2026-05-14 04:54:39.476754
expression_index,without_trigger,50,1,100,10,1000,0,18.550000,0.01855000000000000000,2026-05-14 04:54:41.886408
expression_index,without_trigger,50,2,100,10,1000,0,28.941000,0.02894100000000000000,2026-05-14 04:54:41.916116
expression_index,without_trigger,50,3,100,10,1000,0,36.957000,0.03695700000000000000,2026-05-14 04:54:41.95369
expression_index,without_trigger,50,4,100,10,1000,0,44.744000,0.04474400000000000000,2026-05-14 04:54:41.99933
expression_index,without_trigger,50,5,100,10,1000,0,103.959000,0.10395900000000000000,2026-05-14 04:54:42.104081
expression_index,with_trigger,50,1,100,10,1000,1000,30.683000,0.03068300000000000000,2026-05-14 04:54:42.164499
expression_index,with_trigger,50,2,100,10,1000,1000,41.324000,0.04132400000000000000,2026-05-14 04:54:42.206721
expression_index,with_trigger,50,3,100,10,1000,1000,49.764000,0.04976400000000000000,2026-05-14 04:54:42.257407
expression_index,with_trigger,50,4,100,10,1000,1000,56.036000,0.05603600000000000000,2026-05-14 04:54:42.314416
expression_index,with_trigger,50,5,100,10,1000,1000,70.419000,0.07041900000000000000,2026-05-14 04:54:42.385591
function_index,without_trigger,50,1,100,10,1000,0,17.569000,0.01756900000000000000,2026-05-14 04:54:42.423833
function_index,without_trigger,50,2,100,10,1000,0,117.517000,0.11751700000000000000,2026-05-14 04:54:42.542074
function_index,without_trigger,50,3,100,10,1000,0,29.511000,0.02951100000000000000,2026-05-14 04:54:42.572524
function_index,without_trigger,50,4,100,10,1000,0,31.126000,0.03112600000000000000,2026-05-14 04:54:42.604706
function_index,without_trigger,50,5,100,10,1000,0,34.070000,0.03407000000000000000,2026-05-14 04:54:42.639463
function_index,with_trigger,50,1,100,10,1000,1000,22.327000,0.02232700000000000000,2026-05-14 04:54:42.679491
function_index,with_trigger,50,2,100,10,1000,1000,27.910000,0.02791000000000000000,2026-05-14 04:54:42.708139
function_index,with_trigger,50,3,100,10,1000,1000,40.675000,0.04067500000000000000,2026-05-14 04:54:42.749494
function_index,with_trigger,50,4,100,10,1000,1000,59.785000,0.05978500000000000000,2026-05-14 04:54:42.810204
function_index,with_trigger,50,5,100,10,1000,1000,55.885000,0.05588500000000000000,2026-05-14 04:54:42.867279
no_extra_index,without_trigger,50,1,100,10,1000,0,10.853000,0.01085300000000000000,2026-05-14 04:54:41.029039
no_extra_index,without_trigger,50,2,100,10,1000,0,16.397000,0.01639700000000000000,2026-05-14 04:54:41.046026
no_extra_index,without_trigger,50,3,100,10,1000,0,17.676000,0.01767600000000000000,2026-05-14 04:54:41.064416
no_extra_index,without_trigger,50,4,100,10,1000,0,25.162000,0.02516200000000000000,2026-05-14 04:54:41.090245
no_extra_index,without_trigger,50,5,100,10,1000,0,32.036000,0.03203600000000000000,2026-05-14 04:54:41.122923
no_lookup_index,without_trigger,50,1,100,10,1000,0,9.263000,0.00926300000000000000,2026-05-14 04:54:40.910848
no_lookup_index,without_trigger,50,2,100,10,1000,0,14.378000,0.01437800000000000000,2026-05-14 04:54:40.9262
no_lookup_index,without_trigger,50,3,100,10,1000,0,17.829000,0.01782900000000000000,2026-05-14 04:54:40.944878
no_lookup_index,without_trigger,50,4,100,10,1000,0,23.333000,0.02333300000000000000,2026-05-14 04:54:40.968879
no_lookup_index,without_trigger,50,5,100,10,1000,0,29.920000,0.02992000000000000000,2026-05-14 04:54:40.999558
simple_btree,without_trigger,50,1,100,10,1000,0,19.971000,0.01997100000000000000,2026-05-14 04:54:41.167905
simple_btree,without_trigger,50,2,100,10,1000,0,26.633000,0.02663300000000000000,2026-05-14 04:54:41.196061
simple_btree,without_trigger,50,3,100,10,1000,0,30.744000,0.03074400000000000000,2026-05-14 04:54:41.227453
simple_btree,without_trigger,50,4,100,10,1000,0,26.025000,0.02602500000000000000,2026-05-14 04:54:41.254095
simple_btree,without_trigger,50,5,100,10,1000,0,35.867000,0.03586700000000000000,2026-05-14 04:54:41.290554
simple_btree,with_trigger,50,1,100,10,1000,1000,20.144000,0.02014400000000000000,2026-05-14 04:54:41.329
simple_btree,with_trigger,50,2,100,10,1000,1000,24.531000,0.02453100000000000000,2026-05-14 04:54:41.354501
simple_btree,with_trigger,50,3,100,10,1000,1000,32.349000,0.03234900000000000000,2026-05-14 04:54:41.38746
simple_btree,with_trigger,50,4,100,10,1000,1000,33.679000,0.03367900000000000000,2026-05-14 04:54:41.421901
simple_btree,with_trigger,50,5,100,10,1000,1000,38.477000,0.03847700000000000000,2026-05-14 04:54:41.460999
unique_btree,without_trigger,50,1,100,10,1000,0,12.131000,0.01213100000000000000,2026-05-14 04:54:41.490214
unique_btree,without_trigger,50,2,100,10,1000,0,18.914000,0.01891400000000000000,2026-05-14 04:54:41.509811
unique_btree,without_trigger,50,3,100,10,1000,0,87.474000,0.08747400000000000000,2026-05-14 04:54:41.598039
unique_btree,without_trigger,50,4,100,10,1000,0,25.531000,0.02553100000000000000,2026-05-14 04:54:41.624158
unique_btree,without_trigger,50,5,100,10,1000,0,32.192000,0.03219200000000000000,2026-05-14 04:54:41.657195
unique_btree,with_trigger,50,1,100,10,1000,1000,21.453000,0.02145300000000000000,2026-05-14 04:54:41.696898
unique_btree,with_trigger,50,2,100,10,1000,1000,27.816000,0.02781600000000000000,2026-05-14 04:54:41.725843
unique_btree,with_trigger,50,3,100,10,1000,1000,35.501000,0.03550100000000000000,2026-05-14 04:54:41.762149
unique_btree,with_trigger,50,4,100,10,1000,1000,44.802000,0.04480200000000000000,2026-05-14 04:54:41.807682
unique_btree,with_trigger,50,5,100,10,1000,1000,39.328000,0.03932800000000000000,2026-05-14 04:54:41.847739
expression_index,without_trigger,100,1,100,10,1000,0,21.953000,0.02195300000000000000,2026-05-14 04:54:43.860786
expression_index,without_trigger,100,2,100,10,1000,0,19.148000,0.01914800000000000000,2026-05-14 04:54:43.880969
expression_index,without_trigger,100,3,100,10,1000,0,30.326000,0.03032600000000000000,2026-05-14 04:54:43.912353
expression_index,without_trigger,100,4,100,10,1000,0,29.894000,0.02989400000000000000,2026-05-14 04:54:43.942932
expression_index,without_trigger,100,5,100,10,1000,0,33.378000,0.03337800000000000000,2026-05-14 04:54:43.977278
expression_index,with_trigger,100,1,100,10,1000,1000,34.854000,0.03485400000000000000,2026-05-14 04:54:44.034497
expression_index,with_trigger,100,2,100,10,1000,1000,28.675000,0.02867500000000000000,2026-05-14 04:54:44.06487
expression_index,with_trigger,100,3,100,10,1000,1000,43.106000,0.04310600000000000000,2026-05-14 04:54:44.108771
expression_index,with_trigger,100,4,100,10,1000,1000,63.616000,0.06361600000000000000,2026-05-14 04:54:44.17318
expression_index,with_trigger,100,5,100,10,1000,1000,68.376000,0.06837600000000000000,2026-05-14 04:54:44.249167
function_index,without_trigger,100,1,100,10,1000,0,16.787000,0.01678700000000000000,2026-05-14 04:54:44.284084
function_index,without_trigger,100,2,100,10,1000,0,17.787000,0.01778700000000000000,2026-05-14 04:54:44.302652
function_index,without_trigger,100,3,100,10,1000,0,22.097000,0.02209700000000000000,2026-05-14 04:54:44.325503
function_index,without_trigger,100,4,100,10,1000,0,21.821000,0.02182100000000000000,2026-05-14 04:54:44.348074
function_index,without_trigger,100,5,100,10,1000,0,24.578000,0.02457800000000000000,2026-05-14 04:54:44.373326
function_index,with_trigger,100,1,100,10,1000,1000,25.373000,0.02537300000000000000,2026-05-14 04:54:44.419601
function_index,with_trigger,100,2,100,10,1000,1000,27.612000,0.02761200000000000000,2026-05-14 04:54:44.448109
function_index,with_trigger,100,3,100,10,1000,1000,32.477000,0.03247700000000000000,2026-05-14 04:54:44.481361
function_index,with_trigger,100,4,100,10,1000,1000,35.257000,0.03525700000000000000,2026-05-14 04:54:44.517481
function_index,with_trigger,100,5,100,10,1000,1000,35.233000,0.03523300000000000000,2026-05-14 04:54:44.553438
no_extra_index,without_trigger,100,1,100,10,1000,0,15.133000,0.01513300000000000000,2026-05-14 04:54:43.162083
no_extra_index,without_trigger,100,2,100,10,1000,0,17.870000,0.01787000000000000000,2026-05-14 04:54:43.180642
no_extra_index,without_trigger,100,3,100,10,1000,0,23.498000,0.02349800000000000000,2026-05-14 04:54:43.205035
no_extra_index,without_trigger,100,4,100,10,1000,0,22.663000,0.02266300000000000000,2026-05-14 04:54:43.228506
no_extra_index,without_trigger,100,5,100,10,1000,0,23.846000,0.02384600000000000000,2026-05-14 04:54:43.253005
no_lookup_index,without_trigger,100,1,100,10,1000,0,16.508000,0.01650800000000000000,2026-05-14 04:54:42.904969
no_lookup_index,without_trigger,100,2,100,10,1000,0,20.548000,0.02054800000000000000,2026-05-14 04:54:42.926544
no_lookup_index,without_trigger,100,3,100,10,1000,0,33.619000,0.03361900000000000000,2026-05-14 04:54:42.961236
no_lookup_index,without_trigger,100,4,100,10,1000,0,97.737000,0.09773700000000000000,2026-05-14 04:54:43.059912
no_lookup_index,without_trigger,100,5,100,10,1000,0,62.444000,0.06244400000000000000,2026-05-14 04:54:43.123233
simple_btree,without_trigger,100,1,100,10,1000,0,15.795000,0.01579500000000000000,2026-05-14 04:54:43.28865
simple_btree,without_trigger,100,2,100,10,1000,0,13.410000,0.01341000000000000000,2026-05-14 04:54:43.302839
simple_btree,without_trigger,100,3,100,10,1000,0,22.807000,0.02280700000000000000,2026-05-14 04:54:43.326285
simple_btree,without_trigger,100,4,100,10,1000,0,22.059000,0.02205900000000000000,2026-05-14 04:54:43.349314
simple_btree,without_trigger,100,5,100,10,1000,0,24.177000,0.02417700000000000000,2026-05-14 04:54:43.374223
simple_btree,with_trigger,100,1,100,10,1000,1000,25.879000,0.02587900000000000000,2026-05-14 04:54:43.420139
simple_btree,with_trigger,100,2,100,10,1000,1000,21.193000,0.02119300000000000000,2026-05-14 04:54:43.442578
simple_btree,with_trigger,100,3,100,10,1000,1000,30.359000,0.03035900000000000000,2026-05-14 04:54:43.474223
simple_btree,with_trigger,100,4,100,10,1000,1000,30.509000,0.03050900000000000000,2026-05-14 04:54:43.505599
